ID,Possession Status,Availability Starts From,Floor No,Commercial,Developer,Units Available,Price,Price (English),Flooring Type,Covered Area,Project Name,sqft Price ,Carpet Area,Area Name,Property Uniqueness,Unit of Carpet Area,Ownership Type,furnished Type,Bathroom,Parking,Facing,Amenities Facing,Transaction Type,Type of Property,City,bedroom,floors,Luxury Flat,Carpet Area Unit,isPrimeLocationProperty,Property,isLuxuryServiceProvided,Property Lifespan,balconies,NRI Pref,Land Area / Covered Area,Land Area Unit
8089,Dec '23,NA,NA,Y,JVM Spaces,NA,5900000,59 Lac,Granite,NA,JVM Tiara,NA,407,Owale,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,1,NA,F,Sq-ft,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
8088,Dec '23,NA,NA,Y,Samrin Group,NA,19300000,1.93 Cr,NA,NA,Samrin Heritage,NA,762,Thane West,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8087,Dec '23,NA,NA,Y,Samrin Group,NA,10800000,1.08 Cr,NA,NA,Samrin Heritage,NA,413,Thane West,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,1,NA,F,Sq-ft,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
8086,Under Construction,NA,NA,Y,TATA Housing Development Company Ltd.,NA,22500000,2.25 Cr,NA,NA,Tata Serein,NA,700,Pokharan Road Number 2,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8085,Dec '26,Dec '26,NA,Y,Runwal Developers,NA,6500000,65 Lac,Vitrified,NA,Runwal Codename Enchanted,NA,355,Kolshet,NA,NA,NA,Unfurnished,1,1 Covered,NA,NA,New Property,Apartment,Thane,1,NA,F,Sq-ft,Y,1 BHK Flat,0,NA,NA,NA,NA,NA
8084,Jun '24,Dec '25,NA,Y,Risland India,NA,12200000,1.22 Cr,"Vitrified,Ceramic Tiles,Normal Tiles/Kotah Stone",NA,The Icon by Risland,NA,680,Dhokali,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8083,Dec '26,Dec '26,NA,Y,Runwal Developers,NA,11500000,1.15 Cr,Vitrified,NA,Runwal Codename Enchanted,NA,619,Kolshet,NA,NA,NA,Unfurnished,2,1 Covered,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8082,Ready to Move,Dec '22,NA,Y,Piramal Realty,NA,25100000,2.51 Cr,Vitrified,NA,Piramal Vaikunth,NA,950,Balkum village,NA,NA,NA,Unfurnished,3,NA,NA,NA,New Property,Apartment,Thane,3,NA,F,Sq-ft,Y,3 BHK Flat,0,NA,NA,NA,NA,NA
8081,Ready to Move,Dec '22,NA,Y,Piramal Realty,NA,11800000,1.18 Cr,Vitrified,NA,Piramal Vaikunth,NA,560,Balkum village,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8080,Jun '24,Dec '25,NA,Y,Risland India,NA,13420000,1.34 Cr,"Vitrified,Ceramic Tiles,Normal Tiles/Kotah Stone",NA,The Icon by Risland,NA,680,Dhokali,NA,NA,NA,Unfurnished,2,NA,NA,NA,New Property,Apartment,Thane,2,NA,F,Sq-ft,Y,2 BHK Flat,0,NA,NA,NA,NA,NA
8079,Under Construction,Dec '24,10,N,DOSTI REALTY,10,14500000,1.45 Cr,Vitrified,1476,Dosti Tulip,9823,923,Balkum village,NA,Sq-ft,Freehold,Unfurnished,3,2 Covered,North,"Garden/Park, Main Road",New Property,Apartment,Thane,3,29,F,Sq-ft,Y,3 BHK Flat,0,NA,1,Y,NA,NA
8078,Ready to Move,NA,13,N,Rustomjee,2,14500000,1.45 Cr,Ceramic Tiles,1170,Rustomjee Azziano,12393,720,Majiwada,East Facing Property,Sq-ft,Freehold,Semi-Furnished,2,1 Covered,East,"Pool, Garden/Park, Main Road",Resale,Apartment,Thane,2,24,F,Sq-ft,Y,2 BHK Flat,0,5 to 10 years,1,NA,NA,NA
8077,Dec '25,Dec '25,NA,Y,Ashwin Sheth Group,NA,60000000,6 Cr,"Wooden,Marble",NA,Sheth Avalon,NA,2241,Thane West,NA,NA,NA,Unfurnished,4,NA,NA,NA,New Property,Apartment,Thane,4,NA,F,Sq-ft,Y,4 BHK Flat,0,NA,NA,NA,NA,NA
8076,Dec '23,Dec '23,NA,Y,Ashwin Sheth Group,NA,25500000,2.55 Cr,Vitrified,NA,Sheth Vasant Lawns,NA,1013,Majiwada,NA,NA,NA,Unfurnished,3,1 Covered,NA,NA,New Property,Apartment,Thane,3,NA,F,Sq-ft,Y,3 BHK Flat,0,NA,NA,NA,NA,NA
